Contre Pièce,Référence,Code Pièce
KS_3SIHI_10WS,999096272,4F0937733E
KS_3SIHI_4BR,999044049,8K0973754A
KS_3SIHLI_10GN,,
KS_AHK,999092728,1J0972732+3B0919136A
KS_BAT48C_6SW,,
KS_BKT_2SW,,
KS_BRL_4SW,999165704,8K0972994+WHT005293
KS_BRL_Q9_4SW,999161383,8K0972994+WHT008062
KS_CANFD_HCP1_1,,
KS_CANFD_HCP1_2,,
KS_CANFD_HCP2_1,,
KS_CANFD_HCP5_1,,
KS_CANFD_HCP5_2,,
KS_CRASHL_2SW,,
KS_CRASHMR_2SW,,
KS_CRASHMR_4SW,,
KS_CRPSHL_2SW,,
KS_DACH_12SW,,
KS_DACH_4SW,999165704,8K0972994+WHT005293
KS_DACH_ERK_2SW,,
KS_DIAG1_17SW,999143339,4F0972483
KS_ERRHM2_4SW,,
KS_ETH,,
KS_ETH_AUFN,,
KS_ETH_AUFN_1,,
KS_ETH_AUFN2,,
KS_ETH_HCP5,,
KS_ETH_HCP5_1,,
KS_ETH_HCP5_2,,
ks_ETH_hcp5-1,,
KS_FRONT_E1_2SW,,
KS_GETR_PH_14SW,,
KS_HMDT_GS,,
KS_HMDT_SW,,
KS_HMTD_6SW,,
ks_HMTD_6SW et GSHFS,,
KS_KRASH_MR_4SW,,
KS_MIKO_14GR_RT,,
KS_MIKO_14GR_V8,,
KS_MIKO_17BR,,
KS_MIKO_17TR,,
KS_MIKO_2SR_17RT,,
KS_MIKO_8WS,,
KS_MOVO_14GR_V8,,
KS_MOVO_14SW,,
KS_MOVO_14SW_V6,,
KS_PAD,999095608,8R0973605
KS_PFAR_17BL,,
KS_PFAR_17RT,,
KS_PROJLICHT_LS_4SW,,
KS_PROJLICHT_RS_4SW,,
KS_PROUJLICHT_LS_4SW,,
KS_PROUJLICHT_RS_4SW,,
KS_SCR_14SW,999158950,4H0973717
KS_SCR_2SW,999159618,5C6973752
KS_SILI_17RT,,
KS_SIRE_10WS,,
KS_SIRE_17_RT,,
KS_START,,
KS_START_2SW,,
KS_START_5SW,,
KS_START-2SW,,
KS_STEH_14BR,,
KS_STFH_14BR,999160870,6X0973817A
KS_STFU_14SW,,
KS_STFV_14PG,,
KS_STFV_14PG et TG3TW2_TD,,
KS_STFV_14SW,,
KS_STFV_2SW,,
KS_TANK_14SW,,
KS_TANK_2SW,,
ks_THL_19SW,,
KS_THR_19SW,,
KS_TVL,,
KS_TVL_41SW,,
KS_TVL_41SW et AGK_V6,,
"KS_TVL_41SW,KS_BAT48C",,
KS_TVR_41SW,,
KS_TVR_41SW (CLIP),,
KZL_L,999083198,8W0971832
KZL_R,999083198,8W0971832
LADE_CN_JP_A,999161370,1K0973038
LADE_RDW_NAR_A,999156989,80A973716
LADE_RDW_NAR_A_Q9,,
LADEKLA_PH,999087479,1J0973119
LADEKLA_PH_Q9,,
LADERDW_NAR_A,,
Layout,,
LDAMBVOLI_LL,,
LDKT,999159786,8E0972712
LEDAMRVO_RE,,
LFL_DRSP1,,
LFL_DRSP2_A,,
LFL_DRSP2_B,,
LFL_DVR,,
LFL_LVA_D,,
LFL_LVA_E,,
LFL_LVA_H,,
LGFS,,
LGFS2,,
LGSF2,,
LL_DRSP1,,
LL_DVL,,
LL_DVR,,
LL_LVA_D,,
LL_LVA_E,,
LL_LVA_H,,
LLEL_LI,,
LMM_TDI,,
LSPSURHL,999083198,8W0971832
LSPSURHR,999083198,8W0971832
LTE3,999114572,5QF035576
LTGOPEN,,
LVA_A,,
LVA_A_Q9,,
Master d'alimentation,,
Master des point,,
MCP4,,
MFK5,,
MFUG,,
MITU1_4WS,,
MKK3-A,,
MMK_B,,
MMK_C,,
MOSTR,,
MOSW,,
MOTSER,,
MOTSL,,
MOTSR,,
MP_80A,,
MP_TANK,999065662,8K1971921
MP08_B1,,
MP74_A,999072640,N0175063
MP75_A,999072640,N0175063
MP79_A_Q9,,
MP80_A_Q9,,
MP80_Q9,,
MP81A_Q9,,
MQS,999159040,1J0973735
MSG_D,,
MSG_E,,
MSG_F,,
MSG_V6_BIT,,
MSG2_E,,
MSG2_F,,
MSGE_V6,,
MSGE_V6_BIT,,
MSGF_V6,,
MTVR,,
MVW2_PH,,
NAPPE DIO,,
NHL,999166241,8K0973703+6N0906102
NOXSG,,
NOXSG_V6,,
NOXSG_V6_MH,,
NOXSG2,,
NOXSG2_V6,,
NOXSG2_V6 NOXSG3 PTKS,,
NOXSG3,,
NVL,,
NVR,,
PC,,
PLK,,
PLK_MH,,
PRESSION D'AIR,,
PROGRAMME,,
PROJLICHT_RS,,
PROUJ LCH_RS,,
PTC_A_PH,,
PTC_A_PH_LL,,
PTKS,,
PWM_1_PH,,
PWM_2_MH,,
PWM_2_PH,,
PWM_2_TDI,,
PWM_3_PH,,
Q9_GBSS_HL,999082283,3B0972712+3B0919136A
R_V8_14GR,,
"RA_87,RA_SLPR",,
RA_AN,,
RDK,,
RDK_Q9,,
REL_BOX_A,,
REL_BOX_LL,,
RKK_V6,,
RKK_V8,,
RLS,,
RSG_MH_R4,,
RSG_MH_V6,,
SAR_A,999143667,4M0972144
SAR_B,999159580,4G0919321
SAR_C,999143339,8K0972483A
SAR_C_Q9,,
SAR_D,999114962,6R0937700
SAR_E,999038830,1J0972724
SBBRL,999062784,4H0973713A
SBBRL_Q9K,999073855,4H0973713E
SBBRM,999068226,1K8972928
SBBRM_Q9K,999118271,1K8972928C
SBBRR,999062784,4H0973713A
SBBRR_Q9K,999073855,4H0973713E
SDARS,,
"SDARS,VS_MPD02,VS_MP16",,
SDIC_PH,,
SETD,999087479,1J0973119
SETD_2,999108975,8E0971832-GREY SCALE SENSOR
SETD_2_Q9,,
SG_DSP,,
SG_DSP_2,,
SG_DSP_PH,,
SG_DSP_PH_Q9,,
SG_DSP_Q9,,
SG_DSP2,,
SG_DSP2 et KS_ETH _HCP5,,
SG_DSP2_PH_Q9,,
SG_DSP2_Q9,,
SG_LEH,,
SG_MH_V6,,
SG_OPG_B,,
SG_SV3_A,999083809,4M0972710
SG_SV3_B,999167979,85H972126
SG_SV3_C,999159811,4H0972704
SG_SV3_E,999167980,85H972725
SG-DSP,,
SGA,,
SGG,,
SGHALA,,
SGHALA_PH,999159234,95C972752-LEAR
SGHALA_PH_Q9,,
SGHALB_PH,999159705,7M0973119
SGHALB_PH_Q9,,
SGKTH,,
SGQS_A,999143207,4T0972704
SGQS_B,999150471,9Y0972716
SGRCKAM,,
SGSH3SR,999109627,4F0973715
SGUKAM_AUFN_CLIP,,
SGUKAM_AUFN_Q9_CLIP,,
SGUKAM2_AUFN,999114563,5WA035444+5WA035447-VERSION 1
SGUKAM2_AUFN_CLIP,999114563,5WA035444+5WA035447-VERSION 1
SGUKAM2_F,999083809,4M0972710
SHKG_Q9,999157727,4F0973703A
SHMV,,
SIDOH_A,999143412,5Q0972752
SIDOH_F,,
"SIDOH,SG_FSH",,
SIDOL_HECK,,
SIDOM_A,,
SIDOV_A,,
SIDOV_B,,
SIDOV_C,,
SIDOV_D,,
SIDOV_E,,
SIDOV_F,,
SIDOV_STG,,
SIDOV_STG_1,,
SIDOV_STG_B,,
SIDOV_STG_G,,
SIDOV_STG_I,,
SILI_usc,,
SITHE_AHK,999096705,4A0937530
Slave des point,,
SLPR_R4,,
SOARS,,
SPANWAN_PH_A,,
SPS_FS,,
SPS_RL_BFS,,
SRA,,
START_2SW,,
STD,999128559,971973119
STHZ_A,,
STHZ_B,,
SUB,999094899,7N0972704
SUBW,999094901,7N0972704A
SW_A,,
SW_B,,
SWB,,
SWL,,
SWR,,
SWR_B,,
TASTBATT_PH,999159215,4F0973703
TASTBATT_PH_Q9,,
TEMPHV_VORLF,999156984,4H0973702A
TEMPHV_VORLF_Q9,,
TESA,999165779,4B0971978B
Testeur,,
TEV_1,,
TEV1,,
TEV1 + AGK1_V8,,
TEV2,,
TFGB,999076543,1J0971972
TG_TW12_PH,,
TG_TW7_PH,,
TG3TW2_TDI,,
TGHVN,999156984,4H0973702A
TGHVN_Q9,,
TGKA_V8,,
TGKA2,,
THL_KS_ETH_HCP5_1,,
TLKA,999095892,4B0971978C
TLV2SR_L,999159786,8E0972712
TP SHORT,,
Transformateur 5v,,
TSH3SRL,999159964,85E973704
TSH3SRR,999167735,85E973704A
TU_001,,
TU_001_RL,,
TU_355,,
TU_361,,
TU_400,,
TU_500,,
TU_809,,
TU_854,,
TU_855,,
TU_861,,
TU_862,,
TU_863,,
TU_864,,
TU_975,,
TU-361,,
tu-400,,
TU-500,,
TUBE D'EAU,,
TULL_400,,
TVL_41SW,,
UKAM1_HI,999123526,5WA973708B
UKAM1_HI_Q9,,
USB_LS,999043631,8K0973754
UVW3,,
UVW4L,,
UWB_2SL,,
UWB_HL1,999158953,85E973706
UWB_HL2,999158948,4H0973706
UWB_HR,999158953,85E973706
UWB_IN1,,
UWB_IN2,999158948,4F0973706
UWB_IN2_Q9,,
UWB_LI,,
UWB_RE_01,,
UWB_RE_2,,
UWB_RE01,,
UWB_RE02,,
UWB_V1,,
Vchek,,
VIP,999159795,06E973703
VO_LLSW_V6,,
VS_MP01,,
VS_MP04,,
VS_MP07_A,,
VS_MP08,,
VS_MP10,,
VS_MP11,,
VS_MP18,,
VS_MP20,,
VS_MP21,,
VS_MP22,,
VS_MP27,,
VS_MP31,999120526,3C0971260C
VS_MP31_Q9,,
VS_MP40,,
VS_MP41,999120526,3C0971260C
VS_MP42,999120526,3C0971260C
VS_MP43,999120526,3C0971260C
VS_MP46,999120526,3C0971260C
VS_MP47,999126340,3C0971260A
VS_MP47_Q9,,
VS_MP48,999120526,3C0971260C
VS_MP71,,
VS_MP73,999120526,3C0971260C
VS_MPA09_A,,
VS_MPB03,,
VS_MPB22,,
VS_MPB73,,
VS_MPD01,,
VS_MPD04,,
Wago,,
WUA,,
WUP,,
wup_r4,,
WUP_TDI_9M1,,
WWL_H,,
WWL_HKL_HECKAM,,
WWL_HKL_KAM,,
WWL_HKL_KAM_Q9,,
WWL_HKL_KAM(1),,
WWL_PU,,
WWP_DUAL,,
WWSG,,
ZAS_B,,
ZAS_C,,
ZAS_D,,
ZAS_E,,
ZAS_G,,
ZDMLA,,
ZDMLB,,
ZGEL,,
